financial_type_code,financial_type_name,financial_type_ja,description,sample_count,confidence,ticker_list,per_median,per_q25,per_q75,per_n,pbr_median,pbr_q25,pbr_q75,pbr_n,ev_ebitda_median,ev_ebitda_q25,ev_ebitda_q75,ev_ebitda_n,dividend_yield_median,dividend_yield_q25,dividend_yield_q75,dividend_yield_n,roe_median,roe_q25,roe_q75,roe_n,roa_median,roa_q25,roa_q75,roa_n,equity_ratio_median,equity_ratio_q25,equity_ratio_q75,equity_ratio_n,interest_coverage_median,interest_coverage_q25,interest_coverage_q75,interest_coverage_n,operating_margin_median,operating_margin_q25,operating_margin_q75,operating_margin_n,net_margin_median,net_margin_q25,net_margin_q75,net_margin_n,ebitda_margin_median,ebitda_margin_q25,ebitda_margin_q75,ebitda_margin_n,revenue_growth_median,revenue_growth_q25,revenue_growth_q75,revenue_growth_n,earnings_growth_median,earnings_growth_q25,earnings_growth_q75,earnings_growth_n,market_cap_median,market_cap_q25,market_cap_q75,market_cap_n,enterprise_value_median,enterprise_value_q25,enterprise_value_q75,enterprise_value_n
DEF,DEFENSIVE_UTILITY,ディフェンシブ・公益型,景気非連動で安定。電力・ガス・食品・医薬の一部。,23,HIGH,"1332.T,1333.T,2004.T,2212.T,2281.T,2288.T,2292.T,2374.T,2533.T,2593.T,25935.T,2602.T,2695.T,2730.T,2734.T,2752.T,2918.T,3028.T,3109.T,3116.T,3501.T,3861.T,4410.T",16.2869,13.4393,23.6988,23,0.9513,0.755,1.3308,23,7.676,6.3885,10.761,23,0.0297,0.026,0.0358,23,0.0637,0.0403,0.084,23,0.0263,0.0215,0.035,23,0.4686,0.4138,0.5088,23,18.48,11.0,44.5,21,0.0354,0.0203,0.0432,23,0.0173,0.0075,0.0299,23,0.0552,0.0486,0.0657,23,0.042,0.024,0.0555,23,-0.0296,-0.2242,0.1988,18,108380700672.0,54452989952.0,266218586112.0,23,157878042624.0,63925985280.0,315460321280.0,23
EXP,EXPORT_CYCLICAL,輸出・景気敏感型,為替・景気サイクルに連動。好況時の高収益と不況時の落ち込みが大きい。,28,HIGH,"1882.T,1934.T,1939.T,2009.T,2267.T,2475.T,2792.T,2908.T,3002.T,3076.T,3097.T,3106.T,3201.T,3435.T,3593.T,4041.T,4042.T,4045.T,4078.T,4092.T,4097.T,4114.T,4116.T,4216.T,4218.T,4275.T,4362.T,6382.T",15.3332,12.1223,21.8833,28,0.9595,0.7371,1.3159,28,7.313,6.697,9.0555,28,0.0369,0.0323,0.0409,28,0.0713,0.0498,0.0843,27,0.0341,0.0238,0.0489,27,0.694,0.6378,0.7604,28,93.57,47.425,246.1375,24,0.0802,0.0674,0.0998,28,0.0523,0.0401,0.0702,28,0.1067,0.0909,0.1422,28,-0.0375,-0.06,-0.0232,28,-0.022,-0.2835,0.244,27,88616951808.0,44386220032.0,161090949120.0,28,85630619648.0,37020864512.0,156185214976.0,28
FIN,FINANCIAL_LEVERAGE,金融・レバレッジビジネス,銀行・保険・リースなど。自己資本比率の意味が異なる業態。,5,MID,"2378.T,2445.T,2471.T,3003.T,3563.T",15.082,13.6585,43.2977,5,1.6766,1.6403,1.9272,5,8.653,6.483,15.796,5,0.0483,0.0397,0.38,5,0.1363,0.1081,0.179,4,0.0369,0.0301,0.045,4,0.2455,0.2451,0.2732,5,8.15,5.57,12.47,5,0.1098,0.0844,0.1606,5,0.0555,0.0,0.056,5,0.1709,0.0,0.2404,5,0.096,0.0315,0.1665,3,0.128,-0.105,0.2595,3,20712955904.0,19682119680.0,1048737153024.0,5,50159992832.0,43247550464.0,1223321583616.0,5
GDH,DECLINING_HEAVY,赤字・重資産・縮小,収益悪化かつ設備が重い。構造転換が必要な状態。,3,MID,"2579.T,3436.T,7918.T",39.6229,37.0774,42.1685,2,1.8388,1.4333,2.7052,3,8.381,-7.328,16.413,3,0.5988,0.3083,0.8894,2,-0.1197,-0.1789,-0.0676,3,-0.0124,-0.0364,-0.0071,3,0.5049,0.3434,0.5423,3,1.21,1.21,1.21,1,-0.0111,-0.0376,-0.0103,3,-0.0287,-0.0427,-0.0238,3,0.0163,-0.0102,0.1454,3,0.007,-0.01,0.03,3,,,,0,594511134720.0,299993108480.0,642328494080.0,3,756382302208.0,381662315008.0,849355702272.0,3
GHG,GROWTH_HIGH_INVEST,赤字・高成長・投資フェーズ,利益よりも成長投資を優先。PSRやARRで評価されるフェーズ。,8,MID,"2153.T,2170.T,3994.T,4059.T,4174.T,4434.T,4875.T,8230.T",37.3074,15.4167,104.8198,7,1.598,1.1172,2.4587,8,13.09,7.9505,20.924,7,0.0377,0.0294,0.0436,5,0.0434,0.0043,0.0737,7,0.0107,-0.0051,0.0446,7,0.5944,0.3977,0.7028,8,49.72,20.1375,79.55,6,-0.0438,-0.0583,-0.0241,8,0.0324,0.0163,0.0416,8,0.0433,0.0139,0.0855,8,0.2395,0.1472,0.341,4,0.0173,0.0173,0.0173,1,13509675008.0,5259647424.0,39592504320.0,8,10623094272.0,6881955712.0,35576689152.0,8
GLW,GROWTH_LIGHT_WEAK,赤字・軽資産・財務注意,成長性も財務健全性も不安定。高リスク・高リターン候補。,4,MID,"2686.T,3135.T,6993.T,9878.T",49.7512,49.7512,49.7512,1,4.6238,3.1787,6.2224,3,-36.816,-78.1873,-7.0322,4,,,,0,-0.2614,-0.2701,-0.0974,3,-0.019,-0.0371,0.0005,4,0.0582,0.0443,0.0918,4,6.32,3.885,7.315,3,-0.0375,-0.0415,-0.0271,4,-0.0325,-0.0492,-0.0202,4,-0.0176,-0.0418,0.0005,4,0.061,-0.0445,0.1142,4,,,,0,8700648960.0,4489554560.0,31862052864.0,4,17408141312.0,5846859072.0,32374431744.0,4
HQH,HIGH_QUALITY_HEAVY,高収益・重資産・健全,インフラや素材で参入障壁が高く、安定的に高収益を出す重厚長大型。,5,MID,"1379.T,1605.T,3099.T,3104.T,9127.T",12.3763,11.2108,19.4927,5,1.0043,0.9962,1.8103,5,6.625,5.767,10.029,5,0.0263,0.0183,0.0264,5,0.0965,0.0846,0.1053,5,0.0383,0.0375,0.0691,5,0.6533,0.5278,0.7125,5,104.23,82.0425,170.135,4,0.1868,0.1746,0.2218,5,0.074,0.0565,0.1129,5,0.2458,0.1411,0.2464,5,-0.006,-0.053,0.001,5,-0.009,-0.252,0.089,5,119199440896.0,61784350720.0,1069931429888.0,5,111043919872.0,69316567040.0,1069234257920.0,5
HQL,HIGH_QUALITY_LIGHT,高収益・軽資産・健全,高収益で資産効率が高く、財務も健全。プレミアム評価を受けやすい。,22,HIGH,"1414.T,1518.T,1783.T,2120.T,2148.T,2301.T,2379.T,2391.T,2461.T,2749.T,3150.T,3741.T,3835.T,3836.T,3901.T,3925.T,3962.T,3992.T,4046.T,4051.T,4307.T,6176.T",17.0082,13.5014,22.2696,21,2.7943,1.7491,3.2725,22,7.646,6.7148,12.8078,22,0.0324,0.0239,0.045,21,0.155,0.1234,0.214,21,0.1025,0.0612,0.1316,21,0.7242,0.6288,0.8084,22,118.27,64.42,416.42,13,0.1939,0.183,0.2361,22,0.1341,0.1226,0.1707,22,0.2337,0.1829,0.2687,22,0.012,-0.068,0.062,22,0.051,-0.186,0.189,21,38005147648.0,20033124352.0,63141048320.0,22,33783240704.0,15840550912.0,49141579776.0,22
HQLg,HIGH_QUALITY_LIGHT_GROWTH,高収益・軽資産・高成長,高収益かつ高成長。グロース株的なプレミアムが乗りやすい。,47,HIGH,"1450.T,1909.T,1968.T,2124.T,2127.T,2317.T,2326.T,2371.T,2413.T,2815.T,2914.T,2980.T,3040.T,3092.T,3371.T,3496.T,3543.T,3635.T,3649.T,3661.T,3663.T,3679.T,3687.T,3763.T,3817.T,3837.T,3854.T,3921.T,3922.T,3923.T,3932.T,3939.T,3983.T,3984.T,3993.T,4071.T,4151.T,4194.T,4373.T,4413.T,4432.T,4441.T,4443.T,4800.T,5250.T,5273.T,6090.T",19.3686,16.4743,22.9839,47,3.3869,2.2656,5.3901,47,9.57,7.33,11.9738,44,0.0307,0.025,0.0444,44,0.193,0.134,0.2804,46,0.1241,0.0729,0.178,46,0.6943,0.5998,0.7746,47,259.8,68.385,2366.34,35,0.2462,0.1729,0.3101,47,0.157,0.1168,0.2077,47,0.2638,0.172,0.3548,47,0.166,0.134,0.247,41,0.253,0.0495,0.4525,39,60832174080.0,32461962240.0,166877356032.0,47,53068124160.0,23735062016.0,157397716992.0,46
HQW,HIGH_PROFIT_HIGH_LEVERAGE,高収益・高レバレッジ,収益性は高いが負債活用型。金融・不動産系に多い。,7,MID,"1773.T,2337.T,3031.T,3482.T,3769.T,4005.T,4385.T",13.1488,10.4278,17.6954,7,1.849,1.493,3.9294,7,12.621,7.487,17.0795,7,0.0253,0.0237,0.027,6,0.1568,0.1359,0.2424,7,0.0478,0.0412,0.049,7,0.2619,0.2106,0.2762,7,15.04,5.525,47.09,7,0.1953,0.1841,0.2574,7,0.1432,0.0898,0.174,7,0.2615,0.2072,0.3069,7,0.108,-0.004,0.1335,7,0.127,-0.29,0.3075,7,569361104896.0,126342524928.0,725350580224.0,7,463471443968.0,284865064960.0,777349234688.0,7
