sector,sample_count,prime_count,standard_count,per_median,per_q25,per_q75,per_n,pbr_median,pbr_q25,pbr_q75,pbr_n,ev_ebitda_median,ev_ebitda_q25,ev_ebitda_q75,ev_ebitda_n,dividend_yield_median,dividend_yield_q25,dividend_yield_q75,dividend_yield_n,roe_median,roe_q25,roe_q75,roe_n,roa_median,roa_q25,roa_q75,roa_n,equity_ratio_median,equity_ratio_q25,equity_ratio_q75,equity_ratio_n,operating_margin_median,operating_margin_q25,operating_margin_q75,operating_margin_n,interest_coverage_median,interest_coverage_q25,interest_coverage_q75,interest_coverage_n,de_ratio_median,de_ratio_q25,de_ratio_q75,de_ratio_n,ticker_list
Basic Materials,124,34,32,14.3375,10.3467,20.2013,117,0.8488,0.6181,1.3401,123,7.396,5.517,10.473,117,0.0351,0.0267,0.0418,119,0.0592,0.0404,0.0923,121,0.0281,0.0183,0.041,121,0.5897,0.4626,0.7047,124,0.0683,0.0371,0.1059,124,35.34,10.995,100.01,115,,,,0,"1491.T,1515.T,3036.T,3101.T,3103.T,3315.T,3405.T,3708.T,3861.T,3863.T,3864.T,3865.T,3877.T,3878.T,3880.T,3895.T,3955.T,4004.T,4005.T,4008.T,4021.T,4022.T,4023.T,4025.T,4027.T,4028.T,4031.T,4040.T,4041.T,4042.T,4043.T,4044.T,4045.T,4046.T,4047.T,4061.T,4063.T,4064.T,4078.T,4082.T,4088.T,4091.T,4092.T,4093.T,4095.T,4097.T,4099.T,4109.T,4112.T,4114.T,4116.T,4118.T,4182.T,4183.T,4187.T,4188.T,4189.T,4202.T,4203.T,4205.T,4208.T,4220.T,4221.T,4228.T,4229.T,4231.T,4247.T,4249.T,4272.T,4275.T,4362.T,4368.T,4369.T,4401.T,4403.T,4410.T,4531.T,4623.T,4624.T,4885.T,4914.T,4971.T,4992.T,5013.T,5018.T,5103.T,5122.T,5199.T,5282.T,5304.T,5363.T,5401.T,5406.T,5408.T,5410.T,5411.T,5445.T,5446.T,5451.T,5458.T,5461.T,5463.T,5471.T,5484.T,5541.T,5542.T,5602.T,5609.T,5632.T,5695.T,5697.T,5707.T,5713.T,5724.T,5726.T,5729.T,5742.T,5753.T,7305.T,7446.T,7461.T,7886.T,7970.T,7986.T"
Communication Services,44,4,1,17.792,11.5889,22.954,42,1.9977,1.2548,2.8322,44,7.659,5.147,9.7685,39,0.0357,0.0255,0.0461,36,0.1047,0.0431,0.1749,43,0.0603,0.0235,0.0973,43,0.6702,0.4477,0.7746,44,0.1029,0.0284,0.1845,44,56.645,23.93,215.8975,28,,,,0,"2120.T,2121.T,2130.T,2148.T,2371.T,2378.T,2379.T,2389.T,2433.T,2461.T,2491.T,3632.T,3635.T,3656.T,3659.T,3661.T,3662.T,3668.T,3672.T,3678.T,3679.T,3686.T,3765.T,3774.T,3776.T,3834.T,3843.T,3901.T,3903.T,3922.T,3926.T,3932.T,4059.T,4194.T,4301.T,4324.T,4326.T,4337.T,4390.T,4800.T,6176.T,9404.T,9419.T,9434.T"
Consumer Cyclical,172,47,49,17.4773,11.7044,25.84,161,1.1824,0.6974,2.3747,171,7.445,5.0205,11.2805,155,0.0348,0.0259,0.0509,160,0.0761,0.0415,0.1166,161,0.0358,0.0217,0.0525,161,0.5258,0.3823,0.6573,172,0.054,0.019,0.0847,172,31.175,10.145,95.1375,150,,,,0,"1419.T,1420.T,1808.T,1873.T,1911.T,1928.T,2157.T,2198.T,2659.T,2670.T,2674.T,2678.T,2681.T,2685.T,2686.T,2695.T,2726.T,2730.T,2733.T,2751.T,2752.T,2753.T,2767.T,2792.T,2882.T,3002.T,3028.T,3031.T,3048.T,3050.T,3053.T,3064.T,3069.T,3071.T,3086.T,3087.T,3091.T,3092.T,3093.T,3097.T,3099.T,3104.T,3109.T,3110.T,3116.T,3135.T,3179.T,3182.T,3186.T,3191.T,3193.T,3196.T,3197.T,3198.T,3199.T,3201.T,3221.T,3284.T,3291.T,3326.T,3333.T,3377.T,3387.T,3395.T,3396.T,3397.T,3402.T,3415.T,3439.T,3501.T,3524.T,3529.T,3543.T,3546.T,3548.T,3560.T,3561.T,3563.T,3569.T,3580.T,3591.T,3597.T,3598.T,3607.T,3608.T,3612.T,3660.T,3665.T,3726.T,3941.T,3946.T,3947.T,3950.T,3964.T,4246.T,4331.T,4343.T,4385.T,4449.T,4558.T,5105.T,5161.T,5189.T,5802.T,5891.T,5941.T,6257.T,6382.T,6417.T,6445.T,6493.T,6584.T,6674.T,6902.T,6995.T,7203.T,7214.T,7217.T,7218.T,7220.T,7222.T,7228.T,7229.T,7235.T,7239.T,7241.T,7245.T,7254.T,7261.T,7266.T,7267.T,7271.T,7278.T,7287.T,7291.T,7292.T,7296.T,7299.T,7313.T,7412.T,7421.T,7455.T,7482.T,7494.T,7504.T,7512.T,7513.T,7554.T,7731.T,7807.T,7918.T,7938.T,8130.T,8139.T,8181.T,8214.T,8225.T,8227.T,8230.T,8281.T,8289.T,8919.T,9028.T,9376.T,9827.T,9828.T,9835.T,9843.T,9854.T,9878.T,9900.T,9936.T"
Consumer Defensive,115,24,27,17.6668,13.6076,23.8327,107,1.2023,0.875,1.7371,115,8.65,6.5913,10.8075,108,0.0294,0.0213,0.635,111,0.0712,0.0382,0.1066,109,0.0325,0.0185,0.0435,108,0.5668,0.4689,0.6447,115,0.0483,0.0292,0.0844,115,44.5,14.565,101.055,103,,,,0,"1301.T,1332.T,1333.T,1375.T,1377.T,1379.T,1380.T,2001.T,2002.T,2004.T,2009.T,2053.T,2060.T,2108.T,2109.T,2117.T,2201.T,2204.T,2206.T,2207.T,2209.T,2211.T,2212.T,2215.T,2217.T,2220.T,2222.T,2224.T,2226.T,2229.T,2264.T,2266.T,2267.T,2268.T,2269.T,2270.T,2281.T,2282.T,2288.T,2291.T,2292.T,2294.T,2296.T,2501.T,2502.T,2503.T,2531.T,2533.T,2540.T,2579.T,2585.T,2587.T,2590.T,2593.T,25935.T,2594.T,2597.T,2602.T,2607.T,2613.T,2692.T,2742.T,2747.T,2791.T,2801.T,2802.T,2804.T,2805.T,2809.T,2810.T,2811.T,2814.T,2815.T,2818.T,2871.T,2874.T,2875.T,2877.T,2884.T,2894.T,2897.T,2903.T,2904.T,2907.T,2908.T,2910.T,2914.T,2915.T,2918.T,2922.T,2930.T,2931.T,2933.T,2935.T,3038.T,3139.T,3180.T,3382.T,3539.T,4404.T,4452.T,4527.T,4705.T,4925.T,4926.T,4929.T,5341.T,6630.T,7475.T,8006.T,8041.T,9823.T,9846.T,9955.T,9994.T"
Energy,11,6,4,12.6758,10.0988,19.7894,11,1.1098,1.0184,1.3051,11,7.306,5.0497,8.9677,10,0.0258,0.0243,0.0356,10,0.0942,0.0722,0.1188,10,0.0405,0.0133,0.0721,10,0.5554,0.3565,0.7469,11,0.0449,0.0291,0.1298,11,19.03,8.8275,54.7275,8,,,,0,"1514.T,1518.T,1605.T,1662.T,5010.T,5015.T,5019.T,5020.T,5021.T,6239.T,9535.T"
Financial Services,69,38,28,14.4944,11.9852,18.5981,61,0.9343,0.5586,1.3376,69,10.1315,6.6318,14.9612,20,0.0316,0.0257,0.0395,64,0.064,0.0404,0.105,66,0.0044,0.0016,0.0246,66,0.083,0.0454,0.3559,69,0.2348,0.1239,0.3495,69,20.22,10.2775,292.575,22,,,,0,"2127.T,3113.T,3454.T,4310.T,5838.T,5844.T,6993.T,7150.T,7157.T,7161.T,7162.T,7164.T,7173.T,7175.T,7177.T,7180.T,7181.T,7185.T,7186.T,7191.T,7198.T,7199.T,8308.T,8316.T,8337.T,8338.T,8349.T,8354.T,8362.T,8365.T,8368.T,8383.T,8387.T,8388.T,8410.T,8416.T,8418.T,8425.T,8508.T,8524.T,8537.T,8542.T,8550.T,8562.T,8563.T,8572.T,8591.T,8595.T,8600.T,8601.T,8604.T,8613.T,8617.T,8628.T,8630.T,8700.T,8704.T,8705.T,8707.T,8708.T,8713.T,8742.T,8747.T,8750.T,8766.T,8771.T,8772.T,8783.T,8789.T"
Healthcare,61,30,11,17.3366,13.6678,21.6072,58,1.5829,0.989,1.9961,61,8.499,7.451,11.8573,56,0.0283,0.024,0.0425,58,0.0837,0.0507,0.1188,58,0.042,0.0191,0.0587,57,0.6119,0.4304,0.7354,61,0.0822,0.0325,0.1522,61,42.91,19.325,129.935,51,,,,0,"2175.T,2374.T,2395.T,2413.T,2664.T,2784.T,2901.T,2929.T,3034.T,3046.T,3088.T,3148.T,3151.T,3154.T,3183.T,3349.T,3360.T,3391.T,3544.T,3549.T,3593.T,3649.T,3902.T,3939.T,4151.T,4502.T,4506.T,4507.T,4512.T,4519.T,4523.T,4524.T,4528.T,4534.T,4536.T,4538.T,4539.T,4540.T,4543.T,4547.T,4553.T,4556.T,4568.T,4569.T,4574.T,4577.T,4587.T,4595.T,4875.T,4886.T,4887.T,6090.T,6869.T,7071.T,7716.T,7749.T,7775.T,7963.T,8086.T,8129.T,9987.T"
Industrials,277,89,84,14.6845,11.0936,18.8808,269,1.1842,0.8209,1.7828,277,7.8515,5.5453,10.228,264,0.0316,0.0243,0.0406,273,0.0907,0.0539,0.1271,261,0.0397,0.0229,0.0565,259,0.5371,0.4132,0.6819,277,0.077,0.0487,0.1159,277,37.8,14.83,126.68,249,,,,0,"1414.T,1417.T,1429.T,1433.T,1434.T,1450.T,1719.T,1720.T,1721.T,1726.T,1736.T,1762.T,1770.T,1780.T,1786.T,1787.T,1799.T,1801.T,1802.T,1803.T,1807.T,1812.T,1813.T,1815.T,1820.T,1833.T,1835.T,1850.T,1852.T,1860.T,1861.T,1870.T,1871.T,1879.T,1882.T,1885.T,1887.T,1888.T,1893.T,1898.T,1899.T,1909.T,1926.T,1929.T,1930.T,1934.T,1938.T,1939.T,1941.T,1942.T,1944.T,1945.T,1946.T,1949.T,1950.T,1951.T,1952.T,1959.T,1961.T,1963.T,1964.T,1968.T,1969.T,1975.T,1976.T,1979.T,1980.T,1982.T,2124.T,2146.T,2153.T,2154.T,2163.T,2168.T,2170.T,2181.T,2301.T,2325.T,2331.T,2353.T,2384.T,2410.T,2429.T,2432.T,2445.T,2462.T,2471.T,2475.T,2676.T,2734.T,2749.T,2768.T,2795.T,2883.T,3076.T,3105.T,3106.T,3153.T,3167.T,3176.T,3232.T,3286.T,3302.T,3401.T,3407.T,3431.T,3433.T,3435.T,3437.T,3441.T,3443.T,3498.T,3696.T,3840.T,3958.T,3963.T,4026.T,4204.T,4206.T,4212.T,4216.T,4218.T,4290.T,4318.T,4345.T,4346.T,4351.T,4384.T,4433.T,4651.T,4657.T,4666.T,4771.T,4809.T,5011.T,5186.T,5195.T,5273.T,5279.T,5331.T,5333.T,5355.T,5386.T,5603.T,5659.T,5698.T,5699.T,5721.T,5816.T,5820.T,5821.T,5845.T,5851.T,5915.T,5922.T,5938.T,5958.T,6022.T,6023.T,6083.T,6103.T,6118.T,6125.T,6151.T,6161.T,6167.T,6218.T,6229.T,6231.T,6250.T,6284.T,6294.T,6307.T,6316.T,6317.T,6324.T,6327.T,6330.T,6340.T,6357.T,6384.T,6395.T,6400.T,6405.T,6420.T,6455.T,6464.T,6472.T,6474.T,6480.T,6485.T,6488.T,6489.T,6503.T,6637.T,6668.T,6748.T,6994.T,7003.T,7012.T,7018.T,7022.T,7128.T,7226.T,7438.T,7521.T,7624.T,7635.T,7726.T,7812.T,7820.T,7883.T,7984.T,7992.T,7995.T,8031.T,8059.T,8060.T,8066.T,8070.T,8074.T,8077.T,8089.T,8439.T,8596.T,8793.T,8835.T,9017.T,9031.T,9036.T,9037.T,9044.T,9045.T,9048.T,9051.T,9057.T,9064.T,9067.T,9073.T,9075.T,9076.T,9083.T,9104.T,9110.T,9115.T,9127.T,9142.T,9143.T,9147.T,9171.T,9173.T,9201.T,9202.T,9206.T,9216.T,9233.T,9248.T,9301.T,9302.T,9307.T,9308.T,9311.T,9324.T,9325.T,9332.T,9351.T,9364.T,9366.T,9380.T,9551.T,9564.T,9633.T,9686.T,9706.T,9788.T,9895.T,9908.T"
Real Estate,46,14,17,10.2078,7.8702,14.3311,43,1.3858,0.9238,1.8925,46,10.7825,7.7203,17.1578,44,0.0357,0.0282,0.0439,43,0.1345,0.0928,0.1935,46,0.0468,0.0302,0.0646,46,0.348,0.2756,0.4641,46,0.079,0.0542,0.1249,46,11.06,6.72,19.825,43,,,,0,"1766.T,1783.T,1814.T,1878.T,1925.T,2337.T,2975.T,2980.T,2982.T,2991.T,3003.T,3231.T,3242.T,3245.T,3246.T,3248.T,3252.T,3276.T,3277.T,3280.T,3288.T,3289.T,3297.T,3457.T,3465.T,3475.T,3480.T,3482.T,3484.T,3486.T,3489.T,3496.T,5280.T,8818.T,8836.T,8848.T,8860.T,8887.T,8894.T,8897.T,8908.T,8923.T,8928.T,8995.T,8996.T,8999.T"
Technology,130,24,28,18.0588,13.7952,28.7098,119,2.108,1.2265,3.5503,130,8.534,6.207,14.062,117,0.0331,0.0241,0.0457,115,0.1018,0.0452,0.1856,123,0.052,0.0263,0.1074,123,0.5832,0.4535,0.7201,130,0.1017,0.0332,0.1749,130,70.86,21.04,351.69,109,,,,0,"2307.T,2315.T,2317.T,2326.T,2327.T,2335.T,2359.T,2391.T,2492.T,2737.T,2760.T,3040.T,3054.T,3107.T,3132.T,3156.T,3371.T,3388.T,3393.T,3436.T,3445.T,3626.T,3636.T,3655.T,3657.T,3663.T,3673.T,3676.T,3681.T,3687.T,3694.T,3697.T,3741.T,3762.T,3763.T,3769.T,3771.T,3778.T,3788.T,3817.T,3835.T,3836.T,3837.T,3844.T,3853.T,3854.T,3856.T,3858.T,3915.T,3916.T,3921.T,3923.T,3924.T,3925.T,3962.T,3968.T,3983.T,3984.T,3992.T,3993.T,3994.T,3996.T,3997.T,4051.T,4053.T,4062.T,4071.T,4072.T,4174.T,4180.T,4186.T,4237.T,4251.T,4307.T,4323.T,4333.T,4344.T,4373.T,4392.T,4396.T,4413.T,4421.T,4432.T,4434.T,4440.T,4441.T,4443.T,4446.T,4762.T,4814.T,5214.T,5250.T,5817.T,6298.T,6337.T,6413.T,6513.T,6555.T,6625.T,6629.T,6633.T,6644.T,6645.T,6666.T,6676.T,6736.T,6817.T,6863.T,6864.T,6899.T,6908.T,6918.T,6951.T,6961.T,6965.T,6966.T,6976.T,6986.T,6997.T,7060.T,7500.T,7537.T,7709.T,7721.T,7751.T,7760.T,8137.T,8154.T,8159.T,9913.T"
