ticker,company_name,market,sector,industry,internal_category,financial_type,notes,company_name_jpx,market_jpx,sector_jpx,company_name_yf,market_yf,sector_yf,industry_yf,quote_type,currency,country,website,yf_fetch_status
1305.T,iFreeETF TOPIX (Yearly Dividend Type),ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,,iFreeETF TOPIX (Yearly Dividend Type),JPX,,,ETF,JPY,,,ok
1306.T,NEXT FUNDS TOPIX Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,,NEXT FUNDS TOPIX Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
1308.T,Amova Exchange Traded Index Fund TOPIX,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,,Amova Exchange Traded Index Fund TOPIX,JPX,,,ETF,JPY,,,ok
1309.T,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
1311.T,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
1319.T,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
1320.T,iFreeETF Nikkei225 (Yearly Dividend Type),ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,,iFreeETF Nikkei225 (Yearly Dividend Type),JPX,,,ETF,JPY,,,ok
1321.T,NEXT FUNDS Nikkei 225 Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,,NEXT FUNDS Nikkei 225 Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
1322.T,Listed Index Fund China A Share (Panda) E Fund CSI300,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,,Listed Index Fund China A Share (Panda) E Fund CSI300,JPX,,,ETF,JPY,,,ok
1325.T,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,ETF・ETN,,,unknown,non_financial,industry_missing; sector_missing,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,JPX,,,ETF,JPY,,,ok
